timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685562370414,721,Your_Store_Link,200,OK,Usuarios 1-1,text,true,,27136,123,10,10,http://opencart.abstracta.us/,593,0,356
1685562370851,466,Your_Store_Link,200,OK,Usuarios 1-2,text,true,,28041,123,10,10,http://opencart.abstracta.us/,331,0,132
1685562371668,497,Your_Store_Link,200,OK,Usuarios 1-6,text,true,,28041,123,10,10,http://opencart.abstracta.us/,353,0,143
1685562371856,488,Your_Store_Link,200,OK,Usuarios 1-5,text,true,,28041,123,10,10,http://opencart.abstracta.us/,353,0,148
1685562371943,469,Your_Store_Link,200,OK,Usuarios 1-9,text,true,,28041,123,10,10,http://opencart.abstracta.us/,334,0,140
1685562372291,461,Your_Store_Link,200,OK,Usuarios 1-4,text,true,,28041,123,10,10,http://opencart.abstracta.us/,329,0,126
1685562373185,368,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-1,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,219,0,0
1685562373301,489,Your_Store_Link,200,OK,Usuarios 1-3,text,true,,28041,123,10,10,http://opencart.abstracta.us/,349,0,141
1685562373493,478,Your_Store_Link,200,OK,Usuarios 1-10,text,true,,28041,123,10,10,http://opencart.abstracta.us/,343,0,138
1685562373784,332,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-6,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,206,0,0
1685562373864,485,Your_Store_Link,200,OK,Usuarios 1-7,text,true,,28041,123,10,10,http://opencart.abstracta.us/,345,0,140
1685562374262,341,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-9,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,208,0,0
1685562374184,468,Your_Store_Link,200,OK,Usuarios 1-8,text,true,,28041,123,10,10,http://opencart.abstracta.us/,330,0,134
1685562374974,341,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-3,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,204,0,0
1685562375140,333,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-2,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,201,0,0
1685562375685,344,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-7,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,206,0,0
1685562375791,342,Your_Store_Link_Phones_All,200,OK,Usuarios 1-1,text,true,,31104,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=24,212,0,0
1685562375827,373,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-10,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,236,0,0
1685562375920,331,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-4,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,201,0,0
1685562376014,345,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-5,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,202,0,0
1685562376580,335,Your_Store_Link_Phones_All,200,OK,Usuarios 1-3,text,true,,31104,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=24,196,0,0
1685562376646,332,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-8,text,true,,35784,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=18,200,0,0
1685562377384,336,Your_Store_Link_Phones_All,200,OK,Usuarios 1-6,text,true,,31104,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=24,198,0,0
1685562377616,326,Your_Store_Link_Phones_All,200,OK,Usuarios 1-4,text,true,,31104,163,7,7,http://opencart.abstracta.us/index.php?route=product/category&path=24,195,0,0
1685562378074,359,Your_Store_Link_Phones_All,200,OK,Usuarios 1-9,text,true,,31104,163,6,6,http://opencart.abstracta.us/index.php?route=product/category&path=24,213,0,0
1685562378103,350,Your_Store_Link_Phones_All,200,OK,Usuarios 1-8,text,true,,31104,163,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,220,0,0
1685562378358,340,Your_Store_Link_Phones_All,200,OK,Usuarios 1-2,text,true,,31104,163,4,4,http://opencart.abstracta.us/index.php?route=product/category&path=24,202,0,0
1685562379007,334,Your_Store_Link_Phones_All,200,OK,Usuarios 1-10,text,true,,31104,163,3,3,http://opencart.abstracta.us/index.php?route=product/category&path=24,199,0,0
1685562379615,336,Your_Store_Link_Phones_All,200,OK,Usuarios 1-7,text,true,,31104,163,2,2,http://opencart.abstracta.us/index.php?route=product/category&path=24,202,0,0
1685562379721,335,Your_Store_Link_Phones_All,200,OK,Usuarios 1-5,text,true,,31104,163,1,1,http://opencart.abstracta.us/index.php?route=product/category&path=24,202,0,0
